ChemicalName,CAS­nr,Year,TWA(ppm),TWA(mg/m^3),STEL(ppm),STEL(mg/m3)
n­Heptan* och andra heptaner,142­82-­5-*,1989,200,800,300,1200
2­Heptanon,110­4-3­-0,2015,25,120,100,475
 3­Heptanon,106­3-5­-4,2018,20,95,50,250
Hexahydroftalsyraanhydrid,85­4-2­-7,2011,,,,
Hexametylentetramin,100­9-7­-0,1984,−,3,−,5
 n­Hexan,110­5-4­-3,2018,20,72,50,180
"Hexaner, utom n­hexan",-na-n,1989,200,700,300,1100
2­Hexanon,591­7-8­-6,1993,1,4,2,8
HFC 134 a,811­9-7­-2,1996,500,2000,750,3000
 Hydrazin,302­0-1­-2,2018,"0,01",13,−,−
Hydrokinon,123­3-1­-9,1993,−,"0,5",−,"1,5"
2­Hydroxietylakrylat,818­6-1­-1,1981,1,5,2,10
4­Hydroxi­4­metyl­2­pentanon,123­4-2­-2,1993,25,120,50,240
Indium* och oorg föreningar (som In),7440­74-­6-*,1996,,,,
–totaldamm,-na-n,,−,"0,1",−,−
 Isoamylalkohol,123­5-1­-3,2020,5,18,10,37
Isobutylmetakrylat,97­8-6­-9,1987,50,300,75,450
Isocyanater,-na-n,,,,,
Se respektive isocyanat,-na-n,,,,,
Isocyansyra,75­1-3­-8,2004,"0,01",18,,"0,02"
Isofluran,26675­4-6­-7,1990,10,75,,20
Isoforon,78­5-9­-1,1993,−,−,,5
Isopropanol,67­6-3­-0,1989,150,350,,250
2­Isopropoxietanol,-na-n,,,,,
Se: Etylenglykolmonoisoproyleter,-na-n,,,,,
2­Isopropoxietylacetat,-na-n,,,,,
Se: Etylenglykolmonoisopropyleteracetat,-na-n,,,,,
Isopropylamin,75­3-1­-0,1993,5,12,,10
 Isopropylbensen,98­8-2­-8,2020,10,50,,50
Isopropylnitrat,1712­6-4­-7,1978,10,45,,15
Jod,7553­5-6­-2,1974,−,−,,"0,1"
Järnoxid (som Fe),1309­3-7­-1,1978,,,,
–respirabel fraktion,-na-n,,−,"3,5",,−
,-na-n,,−,4,−,
" Kadmium*, och oorg föreningar",7440­43-­9-*,2020,,,,
(som Cd),-na-n,,,"0,0012",,
–inhalerbar fraktion,-na-n,,,,,
Kadmiumdifluorid,7790­7-9­-6,,,,,
Kadmiumdiklorid,10108­6-4­-2,,,,,
 Kalciumhydroxid,1305­6-2­-0,2018,,1,,
–respirabel fraktion,-na-n,,−,1,,−
 Kalciumoxid,1305­7-8­-8,2018,,,,3
–respirabel fraktion,-na-n,,"−
1","−
4",,
Kaliumaluminiumtetrafluorid,60304­3-6­-1,2005,,,,3
–inhalerbar fraktion,-na-n,,"−

0,4","−
−",,
Kaliumhydroxid,1310­5-8­-3,2005,1,2,,3
–inhalerbar fraktion,-na-n,,"−

1","−

2",,
Kaprolaktam (damm + ånga),105­6-0­-2,2015,"−
5","−
40",,
Karbonyldiklorid,-na-n,,,,,
Se: Fosgen,-na-n,,,,,
3­Karen (jfr Terpener),13466­7-8­-9,1990,"25 
150","50 
300","S,V",
Katekol,120­8-0­-9,1993,"5 
20","10 
40","H,V",
Klor,7782­5-0­-5,2015,"−
−","0,5 
1,5",,
Klorbensen,108­9-0­-7,2015,"5 
23","15 
70",,
"2­Klor­1,3­butadien",126­9-9­-8,1990,"1 
3,5","5 
18","H,V",
Klordifluormetan,-na-n,,,,,
Se: HCFC22,-na-n,,,,,
Klordioxid,10049­0-4­-4,1996,"0,1 
0,3","0,3 
0,8",,
Kloretan,75­0-0­-3,2015,"100 
268","−
−",,
2­Kloretanol,107­0-7­-3,1981,"−
−","1 
3,5",H,24
Klorfenoler och salter(som klorfenol),-na-n,1990,−,"0,5",−,"1,5"
Klorkresol,59­5-0­-7,1993,−,3,−,6
Kloroform,67­6-6­-3,1978,2,10,5,25
"Kobolt*, och oorg. föreningar (som Co)",7440­48-­4-*,2011,,,,
–inhalerbar fraktion,-na-n,,−,"0,02",−,−
Koldioxid,124­3-8­-9,1974,5000,9000,10000,18000
Koldisulfid,75­1-5­-0,1978,5,16,8,25
 Kolmonoxid,630­0-8­-0,2018,20,23,100,117
 Koltetraklorid,56­2-3­-5,2018,1,"6,4",3,19
" Koppar*, och oorg. föreningar",7440­50-­8-*,2018,,,,
–respirabel fraktion,-na-n,,−,"0,01",−,−
Kresol,1319­7-7­-3,2000,1,"4,5",2,9
"Kristobalit,",14464­4-6­-1,1996,,,,
–respirabel fraktion,-na-n,,−,"0,05",−,−
"Krom*, och oorg. (II, III)­föreningar (som Cr)",7440­47-­3-*,2005,,,,
–totaldamm,-na-n,,−,"0,5",−,−
–inhalerbar fraktion,-na-n,,−,5,−,15
–respirabel fraktion,-na-n,−,"0,05",−,−,
"Krom*, och oorg. (II, III)­föreningar (som Cr)",7440­47-­3-*,2005,,,,3
–totaldamm,-na-n,−,"0,5",−,−,
–inhalerbar fraktion,-na-n,−,5,−,15,
 Litium* och föreningar (som Li),7439­93-­2-*,2018,,,,
–inhalerbar fraktion,-na-n,,−,−,−,"0,02"
Litiumhydrid,7580­6-7­-8,,,,,
Lustgas,10024­9-7­-2,1981,100,180,500,900
Maleinsyraanhydrid,108­3-1­-6,2011,"0,05","0,2","0,1","0,4"
" Mangan*, och oorg. föreningar (som Mn),",7439­96-­5-*,2018,,,,
–inhalerbar fraktion,-na-n,,−,"0,2",−,−
–respirabel fraktion,-na-n,,−,"0,05",−,−
Metakrylsyra,79­4-1­-4,1987,20,70,30,100
Metanol,67­5-6­-1,1990,200,250,250,350
Metantiol,74­9-3­-1,1993,1,−,−,−
1­Metoxi­2­propanol,107­9-8­-2,2015,50,190,150,568
1­Metoxi­2­propylacetat,108­6-5­-6,2015,50,275,100,550
Metylacetat,79­2-0­-9,1993,150,450,300,900
Metylakrylat,96­3-3­-3,2015,5,18,10,36
Metylamin,74­8-9­-5,1984,10,13,20,25
Metylbromid,74­8-3­-9,1990,"5 
19","10 
40","H,V",
Metyl­n­butylketon,-na-n,,,,,
Se: 2­Hexanon,-na-n,,,,,
Metyl­2­cyanoakrylat,137­0-5­-3,2000,"2 
9","4 
18","M,S,V",
" 4,4´­Metylendianilin",101­7-7­-9,2018,"0,01 
0,08","−
−","C,H,S",13
 Metylenklorid,75­0-9­-2,2018,"35 
120","70 
250","C,H",37
Metyletylketon,78­9-3­-3,2015,"50 
150","300 
900",,
Metyletylketonperoxid,1338­2-3­-4,1981,"−
−","0,2 
1,5",,
 Metylformiat,107­3-1­-3,2018,"50 
125","100 
250",H,
5­Metyl­3­heptanon,541­8-5­-5,2015,"10 
53","20 
107",,
Metylhexahydroftalsyraanhydrid,25550­5-1­-0,,,,"M,S","4,32"
 5­Metyl­2­hexanon,110­1-2­-3,2018,"20 
95","50 
250",,
 Metylisobutylketon,108­1-0­-1,2018,"20 
83","50 
200",,
Metylisocyanat,624­8-3­-9,2005,"0,01 
0,024","0,02 
0,047",M,"2,21"
4­Metylisopropylbensen,99­8-7­-6,1984,"25 
140","35 
190",V,
Metyljodid,74­8-8­-4,1981,"1 
6","5 
30","C,H,V",
 Metylklorid,74­8-7­-3,2020,"10 
20","20 
40","C,H,V",
Metylklormetyleter,107­3-0­-2,,,,C,1
Metylmetakrylat,80­6-2­-6,2015,50,200,100,400
Metylmetansulfonat,66­2-7­-3,,,,,
N­Metylmorfolin,109­0-2­-4,1984,5,20,10,40
N­Metyl­N­nitrosourea,684­9-3­-5,,,,,
"2­Metyl­2,4­pentandiol",107­4-1­-5,1996,−,−,25,120
4­Metyl­2­pentanol,108­1-1­-2,1996,25,110,40,170
 N­Metyl­2­pyrrolidon (NMP),872­5-0­-4,2020,"3,6","14,4",20,80
α­Metylstyren,98­8-3­-9,2015,20,98,100,492
Metyltertiärbutyleter,1634­0-4­-4,2015,30,110,100,367
Metyltetrahydroftalsyraanhydrid,26590­2-0­-5,,,,,
–totaldamm,-na-n,,−,10,−,−
–respirabel fraktion,-na-n,,−,5,−,−
"Molybden, lättlösliga föreningar",-na-n,1984,,,,
(som Mo),-na-n,,,,,
–totaldamm,-na-n,,−,5,−,−
Monoklorättikssyra,79­1-1­-8,1993,1,4,2,8
Monometylhydrazin,60­3-4­-4,,,,,
Morfolin,110­9-1­-8,2015,10,35,20,72
Myrsyra,64­1-8­-6,1990,3,5,5,9
Naftalen,91­2-0­-3,2000,10,50,15,80
"Naftalener, klorerade",1321­6-5­-9,1978,−,"0,2",−,"0,6"
α­Naftylamin,134­3-2­-7,,,,,
β­Naftylamin,91­5-9­-8,,,,,
Natriumazid,26628­2-2­-8,2015,−,"0,1",−,"0,3"
Natriumhydroxid,1310­7-3­-2,2005,,,,
–inhalerbar fraktion,-na-n,,−,1,−,2
"Nickel, metall",7440­0-2­-0,1978,,,,
–totaldamm,-na-n,,−,"0,5",−,−
"Nickelföreningar (som Ni), utom",-na-n,1978,,,,
Nickelkarbonyl och Trinickeldisulfid,-na-n,,,,,
–totaldamm,-na-n,,−,"0,1",−,−
Nickelkarbonyl,13463­3-9­-3,1974,1,7,−,−
Nikotin,54­1-1­-5,2011,−,"0,1",−,−
 Nitrobensen,98­9-5­-3,2018,"0,2",1,−,−
 Nitroetan,79­2-4­-3,2018,20,62,50,150
 Nitroglycerin,55­6-3­-0,2018,"0,01",95,"0,02","0,19"
Nitrometan,75­5-2­-5,1993,20,50,50,130
1­Nitropropan,108­0-3­-2,1990,5,18,10,35
 2­Nitropropan,79­4-6­-9,2018,2,7,6,20
N­Nitrosodimetylamin,62­7-5­-9,,,,,
Nitrotoluen,1321­1-2­-6,1993,1,6,2,11
Penicillin,-na-n,2011,,,,
–inhalerbar fraktion,-na-n,,−,"0,1",−,−
Pentaerytritol,115­7-7­-5,1996,,,,
–totaldamm,-na-n,,−,5,−,−
"1,1,1,2,2­Pentafluoretan",354­3-3­-6,2005,500,2500,750,3750
Pentaklorfenol* och salter,87­86-­5-*,1974,−,"0,5",−,"1,5"
(som pentaklorfenol),-na-n,,,,,
Pentaner,-na-n,1978,600,1800,750,2000
n­Pentan,109­6-6­-0,,,,,
Pentaner,-na-n,1978,600,1800,750,2000
Pentylacetater,-na-n,2015,50,270,100,540
Piperazin* och salter,110­85-­0-*,2015,"0,03","0,1","0,08","0,3"
"Platina*, metall och svårlösliga föreningar",7440­06-­4-*,2000,,,,
–totaldamm,-na-n,,−,1,−,−
Platina lösliga föreningar (som Pt),-na-n,2000,,,,
–totaldamm,-na-n,,−,2,−,−
n­Propanol,71­2-3­-8,1989,150,350,250,600
Propen,115­0-7­-1,1996,500,900,−,−
β­Propiolakton,57­5-7­-8,,,,,
Propionsyra,79­0-9­-4,2015,10,30,20,62
Propylacetat,109­6-0­-4,1996,100,400,200,800
"1,2­Propylenglykoldinitrat",6423­4-3­-4,1987,"0,1","0,7","0,3",2
"Propylenglykolmonometyleter,",1320­6-7­-8,1990,50,190,75,300
 Propylenoxid,75­5-6­-9,2018,1,"2,4",5,"12,5"
Pyretrum,8003­3-4­-7,2015,−,1,−,−
Pyridin,110­8-6­-1,1996,2,7,3,10
Radon,10043­9-2­-2,2011,,,,
Resorcinol,108­4-6­-3,1993,10,45,−,−
Salpetersyra,7697­3-7­-2,2015,"0,5","1,3",1,"2,6"
Saltsyra,7647­0-1­-0,2015,2,3,4,6
"Selen*, och oorg. föreningar (som Se) utom",7782­49-­2-*,1990,,,,
väteselenid,-na-n,,,,,
–totaldamm,-na-n,,−,"0,1",−,−
Sevofluran,28523­8-6­-6,2000,10,80,20,170
"Silver*, metall och svårlösliga",7440­22-­4-*,1990,,,,
föreningar (som Ag),-na-n,,,,,
–totaldamm,-na-n,,−,"0,1",−,−
"Silver, lösliga föreningar (som Ag)",-na-n,1990,,,,
–totaldamm,-na-n,,−,"0,01",−,−
 Skärvätska,-na-n,2018,,,,
Stearater,-na-n,1996,,,,
–totaldamm,-na-n,,−,5,−,−
Styren,100­4-2­-5,2011,10,43,20,86
"Sulfider, (summan av dimetyldisulfid, dime­",-na-n,1993,1,−,−,−
tylsulfid och metantiol),-na-n,,,,,
Sulfotep,3689­2-4­-5,2015,−,"0,1",−,−
 Svaveldioxid,7446­0-9­-5,2018,"0,5","1,3",1,"2,7"
Svavelhexafluorid,2551­6-2­-4,1993,1000,6000,−,−
Svavelsyra,7664­9-3­-9,2011,,,,
–inhalerbar fraktion,-na-n,,−,"0,1",−,"0,2"
Svaveltetrafluorid,7783­6-0­-0,1993,−,−,"0,1","0,4"
Talk,14807­9-6­-6,1996,,,,
– totaldamm,-na-n,,−,2,−,−
– respirabel  fraktion,-na-n,,−,1,−,−
Tellur* metall och föreningar (som Te),13494­80-­9-*,1981,,,,
–totaldamm,-na-n,,−,"0,1",−,−
Tenn* metall och oorg. föreningar,7440­31-­5-*,2011,,,,
(som Sn),-na-n,,,,,
–inhalerbar fraktion,-na-n,,−,2,−,−
Tennorganiska föreningar (som Sn),-na-n,1978,,,"H,V",3
–totaldamm,-na-n,,"−

0,1","−

0,2",,
" Terfenyl, hydrerad",61788­3-2­-7,2018,"2 
19","5 
48",,
Terpener,-na-n,1990,"25 
150","50 
300","S,V",
Terpentin,8006­6-4­-2,1990,"25 
150","50 
300","H,S,V",
"1,1,2,2­Tetrabrometan",79­2-7­-6,1993,"1 
14","2 
30",V,
Tetraetylbly (som Pb),78­0-0­-2,1981,"−
0,05","−
0,2","H,R,V",
 Tetraetylortosilikat,78­1-0­-4,2018,"5 
44","10 
86",,
"1,1,1,2­Tetrafluoretan",-na-n,,,,,
Se: HFC 134a,-na-n,,,,,
"1,2,2,2­Tetrafluoroetyldifluormetyleter",-na-n,,,,,
Se: Desfluran,-na-n,,,,,
Tetrahydroftalsyraanhydrid,85­4-3­-8,,,,"M,S","4,32"
,935­7-9­-5,,,,,
Tetrahydrofuran,109­9-9­-9,2015,"50 
150","100 
300",,
 Tetrakloretylen,127­1-8­-4,2018,"10 
70","25 
170","C,H",
Tetraklorfenol* och salter,25167­83-­3-*,1990,"−

0,5","−

1,5","H,V",
Tioglykolsyra,68­1-1­-1,1996,1,4,2,8
Tiram,137­2-6­-8,1993,−,1,−,2
Titandioxid,13463­6-7­-7,1990,,,,
–totaldamm,-na-n,,−,5,−,−
"o­Tolidin (3,3’­dimetylbensidin)",119­9-3­-7,,,,,
Toluen,108­8-8­-3,2015,50,192,100,384
 o­Toluidin,95­5-3­-4,2018,"0,1","0,5",−,−
Tridymit,15468­3-2­-3,1996,,,,
–respirabel fraktion,-na-n,,−,"0,05",−,−
Trietanolamin,102­7-1­-6,2011,"0,8",5,"1,6",10
Trietylamin,121­4-4­-8,2015,1,"4,2",3,"12,6"
Trietylentetramin,112­2-4­-3,1984,1,6,2,12
"1,1,1­Trifluoretan",420­4-6­-2,2005,500,1750,750,2625
"1,2,4­Triklorbensen",120­8-2­-1,2015,2,15,5,38
"1,1,1­Trikloretan",71­5-5­-6,2015,50,300,200,1110
" 1,1,2­Trikloretylen",79­0-1­-6,2018,10,54,25,140
Triklorfenol* och salter,25167­82-­2-*,"−

1990 
0,5",−,"1,5","C,H,V",
Vanadinpentoxid (som V),1314­6-2­-1,1987,,,,
– totaldamm,-na-n,,−,"0,2",−,−
– respirabel  fraktion,-na-n,,−,−,−,"0,05"
Vinylacetat,108­0-5­-4,1993,5,18,10,35
 Vinylbromid,593­6-0­-2,2018,1,"4,4",−,−
Vinylidenklorid,-na-n,,,,,
"Se: 1,1­Dikloreten",-na-n,,,,,
 Vinylklorid,75­0-1­-4,2018,1,"2,5",5,13
Vinyltoluen,25013­1-5­-4,1993,10,50,30,150
2­Vinyltoluen,611­1-5­-4,,,,,
Väteklorid,-na-n,,,,,
Se: Saltsyra,-na-n,,,,,
Väteperoxid,7722­8-4­-1,1990,"1 
1,4","2 
3",,
Väteselenid,7783­0-7­-5,2015,"0,01 
0,03","0,05 
0,2",,
Vätesulfid,7783­0-6­-4,2015,"5 
7","10 
14",,
Wollastonit,-na-n,,,,,
"Se: Fibrer, naturliga kristallina­Övriga",-na-n,,,,,
Xylen,1330­2-0­-7,2015,"50 
221","100 
442",H,
o­Xylen,95­4-7­-6,,,,,
